document_id,ticket_pk,retrieval_text_clean,metadata_json,source_system_encoded,similarity_method_encoded,priority_encoded,urgency_encoded,impact_encoded,text_word_count,text_char_count,avg_word_length,unique_word_ratio,uppercase_ratio,digit_ratio,special_char_ratio,repetition_ratio,text_complexity_score,retrieval_quality_score,corpus_quality_score,similarity_confidence
doc_0,2013_2,prio_high urg_critical impact_medium ticket_unknown_status resolution_overdue moderate_resolution,"{""ticket_pk"": ""2013_2"", ""source_system"": ""GLPI"", ""priority_encoded"": 4.0, ""urgency_encoded"": 5.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,4.0,5.0,3.0,6,97,15.333333333333334,1.0,0.0,0.0,0.07216494845360824,0.0,6.545333333333334,0.5166666666666667,0.3,0.25
doc_1,2013_3,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue moderate_resolution,"{""ticket_pk"": ""2013_3"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,97,15.333333333333334,1.0,0.0,0.0,0.07216494845360824,0.0,6.545333333333334,0.5166666666666667,0.3,0.25
doc_2,2013_4,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue very_long_resolution multiple_followups,"{""ticket_pk"": ""2013_4"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.5, ""similarity_confidence"": 0.45}",0,1,3.0,3.0,3.0,7,117,15.857142857142858,1.0,0.0,0.0,0.07692307692307693,0.0,6.756857142857144,0.65,0.5,0.45
doc_3,2013_5,prio_critical urg_critical impact_high ticket_unknown_status resolution_overdue very_long_resolution,"{""ticket_pk"": ""2013_5"", ""source_system"": ""GLPI"", ""priority_encoded"": 5.0, ""urgency_encoded"": 5.0, ""impact_encoded"": 4.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,5.0,5.0,4.0,6,100,15.833333333333334,1.0,0.0,0.0,0.08,0.0,6.745333333333334,0.5166666666666667,0.3,0.25
doc_4,2013_6,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue long_resolution,"{""ticket_pk"": ""2013_6"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,93,14.666666666666666,1.0,0.0,0.0,0.07526881720430108,0.0,6.278666666666667,0.5166666666666667,0.3,0.25
doc_5,2013_7,prio_critical urg_critical impact_high ticket_unknown_status resolution_overdue very_long_resolution,"{""ticket_pk"": ""2013_7"", ""source_system"": ""GLPI"", ""priority_encoded"": 5.0, ""urgency_encoded"": 5.0, ""impact_encoded"": 4.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,5.0,5.0,4.0,6,100,15.833333333333334,1.0,0.0,0.0,0.08,0.0,6.745333333333334,0.5166666666666667,0.3,0.25
doc_6,2013_8,prio_critical urg_critical impact_critical ticket_unknown_status resolution_overdue unresolved_ticket,"{""ticket_pk"": ""2013_8"", ""source_system"": ""GLPI"", ""priority_encoded"": 5.0, ""urgency_encoded"": 5.0, ""impact_encoded"": 5.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,5.0,5.0,5.0,6,101,16.0,1.0,0.0,0.0,0.06930693069306931,0.0,6.812,0.5166666666666667,0.3,0.25
doc_7,2013_9,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue very_long_resolution,"{""ticket_pk"": ""2013_9"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,3.0,3.0,3.0,6,98,15.5,1.0,0.0,0.0,0.08163265306122448,0.0,6.612,0.5166666666666667,0.3,0.25
doc_8,2013_10,prio_high urg_high impact_medium ticket_unknown_status unresolved_ticket,"{""ticket_pk"": ""2013_10"", ""source_system"": ""GLPI"", ""priority_encoded"": 4.0, ""urgency_encoded"": 4.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.3, ""similarity_confidence"": 0.25}",0,1,4.0,4.0,3.0,5,72,13.6,1.0,0.0,0.0,0.08333333333333333,0.0,5.8500000000000005,0.5166666666666667,0.3,0.25
doc_9,2013_11,prio_medium urg_medium impact_medium ticket_unknown_status resolution_overdue unresolved_ticket low_information_ticket,"{""ticket_pk"": ""2013_11"", ""source_system"": ""GLPI"", ""priority_encoded"": 3.0, ""urgency_encoded"": 3.0, ""impact_encoded"": 3.0, ""similarity_method"": ""synthetic_context"", ""corpus_quality_score"": 0.5, ""similarity_confidence"": 0.45}",0,1,3.0,3.0,3.0,7,118,16.0,1.0,0.0,0.0,0.07627118644067797,0.0,6.814000000000001,0.65,0.5,0.45
