query,num_results,top_chunk_id,top_rrf_score,top_rerank_score,latency_seconds
VPN timeout after windows update,5,doc_204248_chunk_0,0.01639,-5.2885,4.473
outlook login issue,5,doc_227304_chunk_0,0.01587,2.9042,4.058
printer not responding,5,doc_200135_chunk_0,0.01449,4.9674,3.556
wifi connection unstable,5,doc_200385_chunk_0,0.01587,4.6754,2.21
authentication failed,5,doc_223404_chunk_0,0.01613,0.211,4.071
email not sending,5,doc_226224_chunk_0,0.01587,6.3554,3.052
system access denied,5,doc_219724_chunk_0,0.01639,3.0145,4.424
slow network performance,5,doc_225077_chunk_0,0.01515,5.0803,4.247
password reset required,5,doc_207443_chunk_0,0.01493,4.4948,2.872
application crash on startup,5,doc_218769_chunk_0,0.01429,4.9014,2.018
