chunk_id,document_id,rag_id,chunk_index,chunk_text,chunk_word_count,chunk_token_estimate,bm25_tokens,metadata_json,priority_encoded,retrieval_quality_score
doc_0_chunk_0,doc_0,45d0726cc395d2b3a2b8c9899523e1dc,0,[PROBLEM] i am unable to access my account after entering the correct credentials. i am unable to access my account after entering the correct credentials. [RESOLUTION] security settings updated and customer notified of precautionary measures. [CONTEXT] Category : performance issue Priority : critical Product : Subscription Service Language : french Escalation: low SLA Status: breached,55,73,"['problem', 'i', 'am', 'unable', 'to', 'access', 'my', 'account', 'after', 'entering', 'the', 'correct', 'credentials', 'i', 'am', 'unable', 'to', 'access', 'my', 'account', 'after', 'entering', 'the', 'correct', 'credentials', 'resolution', 'security', 'settings', 'updated', 'and', 'customer', 'notified', 'of', 'precautionary', 'measures', 'context', 'category', 'performance', 'issue', 'priority', 'critical', 'product', 'subscription', 'service', 'language', 'french', 'escalation', 'low', 'sla', 'status', 'breached']","{""rag_id"": ""45d0726cc395d2b3a2b8c9899523e1dc"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""performance issue"", ""priority"": ""critical"", ""language"": ""french"", ""product"": ""Subscription Service"", ""is_sla_breached"": 1, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 4.0, ""sla_risk_score"": 3.75}",0,2.3125
doc_1_chunk_0,doc_1,504f35fd3b03f048a1984f89fffb08e1,0,[PROBLEM] i would like to request a refund for the recent charge. i would like to request a refund for the recent charge. [RESOLUTION] explained billing breakdown and clarified applicable charges. [CONTEXT] Category : login issue Priority : medium Product : E-commerce Store Language : french Escalation: low SLA Status: breached,51,68,"['problem', 'i', 'would', 'like', 'to', 'request', 'a', 'refund', 'for', 'the', 'recent', 'charge', 'i', 'would', 'like', 'to', 'request', 'a', 'refund', 'for', 'the', 'recent', 'charge', 'resolution', 'explained', 'billing', 'breakdown', 'and', 'clarified', 'applicable', 'charges', 'context', 'category', 'login', 'issue', 'priority', 'medium', 'product', 'e', 'commerce', 'store', 'language', 'french', 'escalation', 'low', 'sla', 'status', 'breached']","{""rag_id"": ""504f35fd3b03f048a1984f89fffb08e1"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""login issue"", ""priority"": ""medium"", ""language"": ""french"", ""product"": ""E-commerce Store"", ""is_sla_breached"": 1, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 2.0, ""sla_risk_score"": 2.8}",3,1.575
doc_2_chunk_0,doc_2,db7bc1e2f75fa986ee832c31e320a2de,0,[PROBLEM] there seems to be a discrepancy in my billing statement for this month. there seems to be a discrepancy in my billing statement for this month. [RESOLUTION] provided step-by-step troubleshooting instructions and issue resolved. [CONTEXT] Category : refund request Priority : high Product : Cloud Storage Language : english Escalation: low SLA Status: met,55,73,"['problem', 'there', 'seems', 'to', 'be', 'a', 'discrepancy', 'in', 'my', 'billing', 'statement', 'for', 'this', 'month', 'there', 'seems', 'to', 'be', 'a', 'discrepancy', 'in', 'my', 'billing', 'statement', 'for', 'this', 'month', 'resolution', 'provided', 'step', 'by', 'step', 'troubleshooting', 'instructions', 'and', 'issue', 'resolved', 'context', 'category', 'refund', 'request', 'priority', 'high', 'product', 'cloud', 'storage', 'language', 'english', 'escalation', 'low', 'sla', 'status', 'met']","{""rag_id"": ""db7bc1e2f75fa986ee832c31e320a2de"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""refund request"", ""priority"": ""high"", ""language"": ""english"", ""product"": ""Cloud Storage"", ""is_sla_breached"": 0, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 7.0, ""sla_risk_score"": 4.0}",1,3.125
doc_3_chunk_0,doc_3,01d7f2addbcc200f88368695230ea06e,0,[PROBLEM] the system is not syncing data across devices properly. the system is not syncing data across devices properly. [RESOLUTION] bug logged internally and workaround shared with the customer. [CONTEXT] Category : payment problem Priority : low Product : Analytics Dashboard Language : chinese Escalation: low SLA Status: met,49,65,"['problem', 'the', 'system', 'is', 'not', 'syncing', 'data', 'across', 'devices', 'properly', 'the', 'system', 'is', 'not', 'syncing', 'data', 'across', 'devices', 'properly', 'resolution', 'bug', 'logged', 'internally', 'and', 'workaround', 'shared', 'with', 'the', 'customer', 'context', 'category', 'payment', 'problem', 'priority', 'low', 'product', 'analytics', 'dashboard', 'language', 'chinese', 'escalation', 'low', 'sla', 'status', 'met']","{""rag_id"": ""01d7f2addbcc200f88368695230ea06e"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""payment problem"", ""priority"": ""low"", ""language"": ""chinese"", ""product"": ""Analytics Dashboard"", ""is_sla_breached"": 0, ""is_escalated"": 1, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 6.0, ""sla_risk_score"": 2.95}",2,2.6125
doc_4_chunk_0,doc_4,aa219338e9e467aadb53d3d1a9026de7,0,[PROBLEM] i am unable to access my account after entering the correct credentials. i am unable to access my account after entering the correct credentials. [RESOLUTION] provided step-by-step troubleshooting instructions and issue resolved. [CONTEXT] Category : security concern Priority : low Product : Cloud Storage Language : german Escalation: low SLA Status: breached,53,70,"['problem', 'i', 'am', 'unable', 'to', 'access', 'my', 'account', 'after', 'entering', 'the', 'correct', 'credentials', 'i', 'am', 'unable', 'to', 'access', 'my', 'account', 'after', 'entering', 'the', 'correct', 'credentials', 'resolution', 'provided', 'step', 'by', 'step', 'troubleshooting', 'instructions', 'and', 'issue', 'resolved', 'context', 'category', 'security', 'concern', 'priority', 'low', 'product', 'cloud', 'storage', 'language', 'german', 'escalation', 'low', 'sla', 'status', 'breached']","{""rag_id"": ""aa219338e9e467aadb53d3d1a9026de7"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""security concern"", ""priority"": ""low"", ""language"": ""german"", ""product"": ""Cloud Storage"", ""is_sla_breached"": 1, ""is_escalated"": 1, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 7.0, ""sla_risk_score"": 3.3}",2,2.95
doc_5_chunk_0,doc_5,a4ca23192e2519a67b168945f7e6437a,0,[PROBLEM] the application crashes whenever i try to upload a file. the application crashes whenever i try to upload a file. [RESOLUTION] bug logged internally and workaround shared with the customer. [CONTEXT] Category : security concern Priority : critical Product : Cloud Storage Language : spanish Escalation: low SLA Status: breached,51,68,"['problem', 'the', 'application', 'crashes', 'whenever', 'i', 'try', 'to', 'upload', 'a', 'file', 'the', 'application', 'crashes', 'whenever', 'i', 'try', 'to', 'upload', 'a', 'file', 'resolution', 'bug', 'logged', 'internally', 'and', 'workaround', 'shared', 'with', 'the', 'customer', 'context', 'category', 'security', 'concern', 'priority', 'critical', 'product', 'cloud', 'storage', 'language', 'spanish', 'escalation', 'low', 'sla', 'status', 'breached']","{""rag_id"": ""a4ca23192e2519a67b168945f7e6437a"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""security concern"", ""priority"": ""critical"", ""language"": ""spanish"", ""product"": ""Cloud Storage"", ""is_sla_breached"": 1, ""is_escalated"": 1, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 3.0, ""sla_risk_score"": 3.1}",0,1.9
doc_6_chunk_0,doc_6,045442b0bd89b22bb01af42157cd0977,0,[PROBLEM] the payment was deducted from my bank account but the transaction shows failed. the payment was deducted from my bank account but the transaction shows failed. [RESOLUTION] payment gateway timeout issue fixed and monitoring implemented. [CONTEXT] Category : performance issue Priority : high Product : Subscription Service Language : english Escalation: low SLA Status: met,56,74,"['problem', 'the', 'payment', 'was', 'deducted', 'from', 'my', 'bank', 'account', 'but', 'the', 'transaction', 'shows', 'failed', 'the', 'payment', 'was', 'deducted', 'from', 'my', 'bank', 'account', 'but', 'the', 'transaction', 'shows', 'failed', 'resolution', 'payment', 'gateway', 'timeout', 'issue', 'fixed', 'and', 'monitoring', 'implemented', 'context', 'category', 'performance', 'issue', 'priority', 'high', 'product', 'subscription', 'service', 'language', 'english', 'escalation', 'low', 'sla', 'status', 'met']","{""rag_id"": ""045442b0bd89b22bb01af42157cd0977"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""performance issue"", ""priority"": ""high"", ""language"": ""english"", ""product"": ""Subscription Service"", ""is_sla_breached"": 0, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 1.0, ""sla_risk_score"": 2.5}",1,1.2403846153846154
doc_7_chunk_0,doc_7,060acca48194f268f6fc39045a064d37,0,[PROBLEM] there seems to be a discrepancy in my billing statement for this month. there seems to be a discrepancy in my billing statement for this month. [RESOLUTION] payment gateway timeout issue fixed and monitoring implemented. [CONTEXT] Category : feature request Priority : high Product : API Service Language : german Escalation: low SLA Status: met,56,74,"['problem', 'there', 'seems', 'to', 'be', 'a', 'discrepancy', 'in', 'my', 'billing', 'statement', 'for', 'this', 'month', 'there', 'seems', 'to', 'be', 'a', 'discrepancy', 'in', 'my', 'billing', 'statement', 'for', 'this', 'month', 'resolution', 'payment', 'gateway', 'timeout', 'issue', 'fixed', 'and', 'monitoring', 'implemented', 'context', 'category', 'feature', 'request', 'priority', 'high', 'product', 'api', 'service', 'language', 'german', 'escalation', 'low', 'sla', 'status', 'met']","{""rag_id"": ""060acca48194f268f6fc39045a064d37"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""feature request"", ""priority"": ""high"", ""language"": ""german"", ""product"": ""API Service"", ""is_sla_breached"": 0, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 3.0, ""sla_risk_score"": 3.2}",1,1.925
doc_8_chunk_0,doc_8,b98b44201fc9a134b047863db7349ad6,0,[PROBLEM] two-factor authentication codes are not being delivered to my phone. two-factor authentication codes are not being delivered to my phone. [RESOLUTION] provided step-by-step troubleshooting instructions and issue resolved. [CONTEXT] Category : bug report Priority : medium Product : E-commerce Store Language : french Escalation: low SLA Status: met,49,65,"['problem', 'two', 'factor', 'authentication', 'codes', 'are', 'not', 'being', 'delivered', 'to', 'my', 'phone', 'two', 'factor', 'authentication', 'codes', 'are', 'not', 'being', 'delivered', 'to', 'my', 'phone', 'resolution', 'provided', 'step', 'by', 'step', 'troubleshooting', 'instructions', 'and', 'issue', 'resolved', 'context', 'category', 'bug', 'report', 'priority', 'medium', 'product', 'e', 'commerce', 'store', 'language', 'french', 'escalation', 'low', 'sla', 'status', 'met']","{""rag_id"": ""b98b44201fc9a134b047863db7349ad6"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""bug report"", ""priority"": ""medium"", ""language"": ""french"", ""product"": ""E-commerce Store"", ""is_sla_breached"": 0, ""is_escalated"": 0, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 4.0, ""sla_risk_score"": 2.9}",3,2.1
doc_9_chunk_0,doc_9,7d9d9c5ebfd3ae474fab25caea8dd250,0,[PROBLEM] i found a bug in the latest update affecting report generation. i found a bug in the latest update affecting report generation. [RESOLUTION] the duplicate charge was reversed and refund processed within 3-5 business days. [CONTEXT] Category : feature request Priority : medium Product : Subscription Service Language : german Escalation: low SLA Status: breached,56,74,"['problem', 'i', 'found', 'a', 'bug', 'in', 'the', 'latest', 'update', 'affecting', 'report', 'generation', 'i', 'found', 'a', 'bug', 'in', 'the', 'latest', 'update', 'affecting', 'report', 'generation', 'resolution', 'the', 'duplicate', 'charge', 'was', 'reversed', 'and', 'refund', 'processed', 'within', '3', '5', 'business', 'days', 'context', 'category', 'feature', 'request', 'priority', 'medium', 'product', 'subscription', 'service', 'language', 'german', 'escalation', 'low', 'sla', 'status', 'breached']","{""rag_id"": ""7d9d9c5ebfd3ae474fab25caea8dd250"", ""source_system"": ""customer_support_tickets_200k"", ""source_dataset"": ""customer_support_tickets_200k"", ""category"": ""feature request"", ""priority"": ""medium"", ""language"": ""german"", ""product"": ""Subscription Service"", ""is_sla_breached"": 1, ""is_escalated"": 1, ""escalation_risk_level"": ""low"", ""issue_complexity_score"": 6.0, ""sla_risk_score"": 3.3}",3,2.7
